Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Note
"OA","Annual population","100","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1998","1998","1000 persons","1019483.581",""
"OA","Annual population","100","India","512","Total Population - Male","3010","Population - Est. & Proj.","1998","1998","1000 persons","529954.039",""
"OA","Annual population","100","India","513","Total Population - Female","3010","Population - Est. & Proj.","1998","1998","1000 persons","489529.547",""
"OA","Annual population","100","India","551","Rural population","3010","Population - Est. & Proj.","1998","1998","1000 persons","739222.779",""
"OA","Annual population","100","India","561","Urban population","3010","Population - Est. & Proj.","1998","1998","1000 persons","276751.263","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","100","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1999","1999","1000 persons","1038058.156",""
"OA","Annual population","100","India","512","Total Population - Male","3010","Population - Est. & Proj.","1999","1999","1000 persons","539685.38",""
"OA","Annual population","100","India","513","Total Population - Female","3010","Population - Est. & Proj.","1999","1999","1000 persons","498372.774",""
"OA","Annual population","100","India","551","Rural population","3010","Population - Est. & Proj.","1999","1999","1000 persons","750527.571",""
"OA","Annual population","100","India","561","Urban population","3010","Population - Est. & Proj.","1999","1999","1000 persons","284011.643","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","100","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2000","2000","1000 persons","1056575.549",""
"OA","Annual population","100","India","512","Total Population - Male","3010","Population - Est. & Proj.","2000","2000","1000 persons","549387.864",""
"OA","Annual population","100","India","513","Total Population - Female","3010","Population - Est. & Proj.","2000","2000","1000 persons","507187.684",""
"OA","Annual population","100","India","551","Rural population","3010","Population - Est. & Proj.","2000","2000","1000 persons","761700.63",""
"OA","Annual population","100","India","561","Urban population","3010","Population - Est. & Proj.","2000","2000","1000 persons","291350.282","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","100","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2001","2001","1000 persons","1075000.085",""
"OA","Annual population","100","India","512","Total Population - Male","3010","Population - Est. & Proj.","2001","2001","1000 persons","559042.845",""
"OA","Annual population","100","India","513","Total Population - Female","3010","Population - Est. & Proj.","2001","2001","1000 persons","515957.249",""
"OA","Annual population","100","India","551","Rural population","3010","Population - Est. & Proj.","2001","2001","1000 persons","772339.048",""
"OA","Annual population","100","India","561","Urban population","3010","Population - Est. & Proj.","2001","2001","1000 persons","299138.807","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","100","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2002","2002","1000 persons","1093317.189",""
"OA","Annual population","100","India","512","Total Population - Male","3010","Population - Est. & Proj.","2002","2002","1000 persons","568640.65",""
"OA","Annual population","100","India","513","Total Population - Female","3010","Population - Est. & Proj.","2002","2002","1000 persons","524676.537",""
"OA","Annual population","100","India","551","Rural population","3010","Population - Est. & Proj.","2002","2002","1000 persons","782001.968",""
"OA","Annual population","100","India","561","Urban population","3010","Population - Est. & Proj.","2002","2002","1000 persons","307805.144","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","100","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2003","2003","1000 persons","1111523.144",""
"OA","Annual population","100","India","512","Total Population - Male","3010","Population - Est. & Proj.","2003","2003","1000 persons","578176.499",""
"OA","Annual population","100","India","513","Total Population - Female","3010","Population - Est. & Proj.","2003","2003","1000 persons","533346.647",""
"OA","Annual population","100","India","551","Rural population","3010","Population - Est. & Proj.","2003","2003","1000 persons","791442.579",""
"OA","Annual population","100","India","561","Urban population","3010","Population - Est. & Proj.","2003","2003","1000 persons","316585.269","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","100","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2004","2004","1000 persons","1129623.456",""
"OA","Annual population","100","India","512","Total Population - Male","3010","Population - Est. & Proj.","2004","2004","1000 persons","587649.484",""
"OA","Annual population","100","India","513","Total Population - Female","3010","Population - Est. & Proj.","2004","2004","1000 persons","541973.982",""
"OA","Annual population","100","India","551","Rural population","3010","Population - Est. & Proj.","2004","2004","1000 persons","800652.72",""
"OA","Annual population","100","India","561","Urban population","3010","Population - Est. & Proj.","2004","2004","1000 persons","325483.057","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","100","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2005","2005","1000 persons","1147609.927",""
"OA","Annual population","100","India","512","Total Population - Male","3010","Population - Est. & Proj.","2005","2005","1000 persons","597052.213",""
"OA","Annual population","100","India","513","Total Population - Female","3010","Population - Est. & Proj.","2005","2005","1000 persons","550557.711",""
"OA","Annual population","100","India","551","Rural population","3010","Population - Est. & Proj.","2005","2005","1000 persons","809639.268",""
"OA","Annual population","100","India","561","Urban population","3010","Population - Est. & Proj.","2005","2005","1000 persons","334479.406","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","100","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2006","2006","1000 persons","1165486.291",""
"OA","Annual population","100","India","512","Total Population - Male","3010","Population - Est. & Proj.","2006","2006","1000 persons","606386.475",""
"OA","Annual population","100","India","513","Total Population - Female","3010","Population - Est. & Proj.","2006","2006","1000 persons","559099.816",""
"OA","Annual population","100","India","551","Rural population","3010","Population - Est. & Proj.","2006","2006","1000 persons","818387.902",""
"OA","Annual population","100","India","561","Urban population","3010","Population - Est. & Proj.","2006","2006","1000 persons","343589.817","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","100","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2007","2007","1000 persons","1183209.472",""
"OA","Annual population","100","India","512","Total Population - Male","3010","Population - Est. & Proj.","2007","2007","1000 persons","615629.52",""
"OA","Annual population","100","India","513","Total Population - Female","3010","Population - Est. & Proj.","2007","2007","1000 persons","567579.951",""
"OA","Annual population","100","India","551","Rural population","3010","Population - Est. & Proj.","2007","2007","1000 persons","826881.86",""
"OA","Annual population","100","India","561","Urban population","3010","Population - Est. & Proj.","2007","2007","1000 persons","352799.379","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","100","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2008","2008","1000 persons","1200669.765",""
"OA","Annual population","100","India","512","Total Population - Male","3010","Population - Est. & Proj.","2008","2008","1000 persons","624720.983",""
"OA","Annual population","100","India","513","Total Population - Female","3010","Population - Est. & Proj.","2008","2008","1000 persons","575948.779",""
"OA","Annual population","100","India","551","Rural population","3010","Population - Est. & Proj.","2008","2008","1000 persons","835058.767",""
"OA","Annual population","100","India","561","Urban population","3010","Population - Est. & Proj.","2008","2008","1000 persons","362088.139","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","100","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2009","2009","1000 persons","1217726.215",""
"OA","Annual population","100","India","512","Total Population - Male","3010","Population - Est. & Proj.","2009","2009","1000 persons","633583.576",""
"OA","Annual population","100","India","513","Total Population - Female","3010","Population - Est. & Proj.","2009","2009","1000 persons","584142.641",""
"OA","Annual population","100","India","551","Rural population","3010","Population - Est. & Proj.","2009","2009","1000 persons","842864.409",""
"OA","Annual population","100","India","561","Urban population","3010","Population - Est. & Proj.","2009","2009","1000 persons","371405.723","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","100","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2010","2010","1000 persons","1234281.17",""
"OA","Annual population","100","India","512","Total Population - Male","3010","Population - Est. & Proj.","2010","2010","1000 persons","642164.181",""
"OA","Annual population","100","India","513","Total Population - Female","3010","Population - Est. & Proj.","2010","2010","1000 persons","592116.982",""
"OA","Annual population","100","India","551","Rural population","3010","Population - Est. & Proj.","2010","2010","1000 persons","850236.137",""
"OA","Annual population","100","India","561","Urban population","3010","Population - Est. & Proj.","2010","2010","1000 persons","380744.554","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","100","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2011","2011","1000 persons","1250287.943",""
"OA","Annual population","100","India","512","Total Population - Male","3010","Population - Est. & Proj.","2011","2011","1000 persons","650436.593",""
"OA","Annual population","100","India","513","Total Population - Female","3010","Population - Est. & Proj.","2011","2011","1000 persons","599851.346",""
"OA","Annual population","100","India","551","Rural population","3010","Population - Est. & Proj.","2011","2011","1000 persons","857153.804",""
"OA","Annual population","100","India","561","Urban population","3010","Population - Est. & Proj.","2011","2011","1000 persons","390082.225","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","100","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2012","2012","1000 persons","1265780.247",""
"OA","Annual population","100","India","512","Total Population - Male","3010","Population - Est. & Proj.","2012","2012","1000 persons","658420.351",""
"OA","Annual population","100","India","513","Total Population - Female","3010","Population - Est. & Proj.","2012","2012","1000 persons","607359.892",""
"OA","Annual population","100","India","551","Rural population","3010","Population - Est. & Proj.","2012","2012","1000 persons","863513.505",""
"OA","Annual population","100","India","561","Urban population","3010","Population - Est. & Proj.","2012","2012","1000 persons","399552.347","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","100","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2013","2013","1000 persons","1280842.125",""
"OA","Annual population","100","India","512","Total Population - Male","3010","Population - Est. & Proj.","2013","2013","1000 persons","666165.661",""
"OA","Annual population","100","India","513","Total Population - Female","3010","Population - Est. & Proj.","2013","2013","1000 persons","614676.458",""
"OA","Annual population","100","India","551","Rural population","3010","Population - Est. & Proj.","2013","2013","1000 persons","869387.533",""
"OA","Annual population","100","India","561","Urban population","3010","Population - Est. & Proj.","2013","2013","1000 persons","409174.674","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","100","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2014","2014","1000 persons","1295600.772",""
"OA","Annual population","100","India","512","Total Population - Male","3010","Population - Est. & Proj.","2014","2014","1000 persons","673747.77",""
"OA","Annual population","100","India","513","Total Population - Female","3010","Population - Est. & Proj.","2014","2014","1000 persons","621852.998",""
"OA","Annual population","100","India","551","Rural population","3010","Population - Est. & Proj.","2014","2014","1000 persons","874857.621",""
"OA","Annual population","100","India","561","Urban population","3010","Population - Est. & Proj.","2014","2014","1000 persons","419001.673","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","100","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 persons","1310152.403",""
"OA","Annual population","100","India","512","Total Population - Male","3010","Population - Est. & Proj.","2015","2015","1000 persons","681223.332",""
"OA","Annual population","100","India","513","Total Population - Female","3010","Population - Est. & Proj.","2015","2015","1000 persons","628929.06",""
"OA","Annual population","100","India","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 persons","879984.521",""
"OA","Annual population","100","India","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 persons","429069.459","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","100","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2016","2016","1000 persons","1324517.249",""
"OA","Annual population","100","India","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 persons","688604.687",""
"OA","Annual population","100","India","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 persons","635912.563",""
"OA","Annual population","100","India","551","Rural population","3010","Population - Est. & Proj.","2016","2016","1000 persons","884779.655",""
"OA","Annual population","100","India","561","Urban population","3010","Population - Est. & Proj.","2016","2016","1000 persons","439391.699","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","100","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","1338676.785",""
"OA","Annual population","100","India","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 persons","695880.522",""
"OA","Annual population","100","India","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 persons","642796.257",""
"OA","Annual population","100","India","551","Rural population","3010","Population - Est. & Proj.","2017","2017","1000 persons","889216.746",""
"OA","Annual population","100","India","561","Urban population","3010","Population - Est. & Proj.","2017","2017","1000 persons","449963.381","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","100","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","1352642.28",""
"OA","Annual population","100","India","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","703055.58",""
"OA","Annual population","100","India","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","649586.703",""
"OA","Annual population","100","India","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","893272.09",""
"OA","Annual population","100","India","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","460779.764","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
